Title,ISBN,Goodreads Book ID
The Tao of Pooh,9780140067477.0,48757.The_Tao_of_Pooh?from_search=true&from_srp=true&qid=9hZ1a1YU33&rank=1.the-tao-of-pooh
Fevre Dream,9780553383058.0,382450.Fevre_Dream?from_search=true&from_srp=true&qid=8U14JZBPD8&rank=1.fevre-dream
The Mismeasure of Man,9780393314250.0,54218.The_Mismeasure_of_Man?from_search=true&from_srp=true&qid=XooYigSfxh&rank=1.the-mismeasure-of-man
"The Secret Diary of Adrian Mole, Aged 13 3/4  ",9780060533991.0,51070.The_Secret_Diary_of_Adrian_Mole_Aged_13_3_4?from_search=true&from_srp=true&qid=dXfkfw1gQg&rank=1.the-secret-diary-of-adrian-mole-aged-13-34
Crystal Singer ,9780345327864.0,653711.Crystal_Singer?from_search=true&from_srp=true&qid=h8dHqHuPtA&rank=1.crystal-singer
"Holy Blood, Holy Grail",,606818.Holy_Blood_Holy_Grail?from_search=true&from_srp=true&qid=JtF12DTzPr&rank=1.holy-blood-holy-grail
Dinner at the Homesick Restaurant,9780449911594.0,77699.Dinner_at_the_Homesick_Restaurant?from_search=true&from_srp=true&qid=UX8ZuNdzXx&rank=1.dinner-at-the-homesick-restaurant
Juxtaposition ,9780345349347.0,365522.Juxtaposition?from_search=true&from_srp=true&qid=hx3DtFgW7t&rank=1.juxtaposition
Witch Week ,9780060298791.0,47572.Witch_Week?from_search=true&from_srp=true&qid=t5er2qUDZ9&rank=1.witch-week
Rabbit Is Rich ,9780140249439.0,85391.Rabbit_Is_Rich?from_search=true&from_srp=true&qid=itdCexGKfv&rank=1.rabbit-is-rich
Janet Frame: An Autobiography ,9780807612590.0,153330.Janet_Frame?from_search=true&from_srp=true&qid=riCrgGflph&rank=1.janet-frame-an-autobiography
